Step,x-coordinate,y-coordinate,Actions
408, 14, 32, RRF
409, 13, 32, F
410, 12, 32, F
411, 11, 32, LF
412, 11, 31, LF
413, 12, 31, F
414, 13, 31, RF
415, 13, 30, F
416, 13, 29, LF
417, 14, 29, F
418, 15, 29, F
419, 16, 29, LF
420, 16, 30, F
421, 16, 31, LF
422, 15, 31, LF
423, 15, 30, RRF
424, 15, 31, LF
425, 14, 31, LF
426, 14, 30, RRF
427, 14, 31, RF
428, 15, 31, LF
429, 15, 32, F
430, 15, 33, LF
431, 14, 33, F
432, 13, 33, RF
433, 13, 34, RRF
434, 13, 33, LF
435, 14, 33, F
436, 15, 33, LF
437, 15, 34, LF
438, 14, 34, RF
439, 14, 35, LF
440, 13, 35, F
441, 12, 35, LF
442, 12, 34, RRF
443, 12, 35, LF
444, 11, 35, LF
445, 11, 34, RRF
446, 11, 35, LF
447, 10, 35, F
448, 9, 35, F
449, 8, 35, RRF
450, 9, 35, F
451, 10, 35, F
452, 11, 35, LF
453, 11, 36, RF
454, 12, 36, RRF
455, 11, 36, LF
456, 11, 35, LF
457, 12, 35, F
458, 13, 35, LF
459, 13, 36, F
460, 13, 37, LF
461, 12, 37, F
462, 11, 37, F
463, 10, 37, LF
464, 10, 36, RRF
465, 10, 37, RF
466, 11, 37, F
467, 12, 37, F
468, 13, 37, LF
469, 13, 38, LF
470, 12, 38, RF
471, 12, 39, LF
472, 11, 39, LF
473, 11, 38, RF
474, 10, 38, RF
475, 10, 39, RRF
476, 10, 38, LF
477, 11, 38, LF
478, 11, 39, RF
479, 12, 39, RF
480, 12, 38, LF
481, 13, 38, LF
482, 13, 39, RF
483, 14, 39, LF
484, 14, 40, LF
485, 13, 40, RRF
486, 14, 40, LF
487, 14, 41, RF
488, 15, 41, F
489, 16, 41, LF
490, 16, 42, LF
491, 15, 42, RF
492, 15, 43, RRF
493, 15, 42, LF
494, 16, 42, LF
495, 16, 43, RF
496, 17, 43, LF
497, 17, 44, LF
498, 16, 44, RRF
499, 17, 44, F
500, 18, 44, LF
501, 18, 45, F
502, 18, 46, LF
503, 17, 46, LF
504, 17, 45, RF
505, 16, 45, RF
506, 16, 46, LF
507, 15, 46, LF
508, 15, 45, F
509, 15, 44, RRF
510, 15, 45, F
511, 15, 46, F
512, 15, 47, LF
513, 14, 47, LF
514, 14, 46, RRF
515, 14, 47, RF
516, 15, 47, LF
517, 15, 48, F
518, 15, 49, LF
519, 14, 49, LF
520, 14, 48, RRF
521, 14, 49, RF
522, 15, 49, LF
523, 15, 50, F
524, 15, 51, RRF
525, 15, 50, LF
526, 16, 50, LF
527, 16, 51, RF
528, 17, 51, LF
529, 17, 52, F
530, 17, 53, F
531, 17, 54, LF
532, 16, 54, LF
533, 16, 53, F
534, 16, 52, RF
535, 15, 52, RF
536, 15, 53, LF
537, 14, 53, RF
538, 14, 54, LF
539, 13, 54, LF
540, 13, 53, RRF
541, 13, 54, RF
542, 14, 54, RF
543, 14, 53, LF
544, 15, 53, RF
545, 15, 52, LF
546, 16, 52, LF
547, 16, 53, F
548, 16, 54, LF
549, 15, 54, RRF
